data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
output_gap_bn,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,0.15526796143617463,-0.046437939524370885,0.35605849738343603
output_gap_bn,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.12004816884452131,-0.30647056975697845,0.550764980883896
output_gap_bn,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.629391835648156,0.5076273226780715,0.7498756131782852
output_gap_bn,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.09056863535431614,-0.002118830889491894,0.18488184103637445
output_gap_bn,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta,0.21181843875710776,-0.3027496751958531,0.6682883640653411
output_gap_bn,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.601589705185186,0.4660776488860669,0.73396120185864
output_gap_bn,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.13097289608846474,0.010177061693139111,0.25867335986000883
output_gap_bn,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta,0.2762139248244393,-0.15908935834285295,0.6295474971930786
output_gap_bn,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6290450025673032,0.507942362872484,0.7471605975659881
output_gap_bn,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.09058511666434431,-0.0001590828681998312,0.18564454832438718
output_gap_bn,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta,0.19333587803403765,-0.32644221803097084,0.6560753756734183
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.6043464721849415,0.4842908632082613,0.7253959428649294
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.08768732699329711,-0.008766547058891664,0.17908114981603107
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,-0.021934211742128742,-0.05132550990331451,0.014767638139186457
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta_0,0.07550886667431053,-0.2827978772985377,0.5375328968865063
output_gap_bn,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,gamma,0.0008215024418950262,-0.03613170616196245,0.03307723962798207
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6260537628874322,0.4768075992257538,0.7777811041039239
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.05880622979289271,-0.04536710743432377,0.16319563879751733
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,-0.008907707540500236,-0.043937611700833185,0.025430342725192394
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta_0,0.3228699006216307,0.08616647928623741,0.5825989438356602
output_gap_bn,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,gamma,-0.00545599094239483,-0.04318092093835111,0.03394992278895932
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5356105825326368,0.2868393275090826,0.7670691738339955
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,0.16946609375835892,-0.04131477258337501,0.3902243980276289
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0008720523991802151,-0.037952140807282556,0.04142643885176388
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta_0,0.09115121957278509,-0.28945134332859446,0.48200329767255096
output_gap_bn,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,gamma,0.00037965374613354723,-0.038603014930043165,0.038799751506700605
output_gap_bn,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6144439810253854,0.4963289907810202,0.7296858521193994
output_gap_bn,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.09596162326160336,1.0082364978230977e-05,0.19110847386663102
output_gap_bn,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,-0.007347668968557557,-0.046266416745185425,0.03151169689635945
output_gap_bn,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta_0,0.23334974249771318,0.06589489271266402,0.5117684280928669
output_gap_bn,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,gamma,-0.010004683178271407,-0.045891714946917336,0.029628642486934677
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.5698708276107305,0.4324063181591332,0.7097487171732968
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.14041452252677977,0.018197400574518543,0.27420871385213913
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,-0.018969012000024002,-0.05392685050483883,0.015908521066988257
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta_0,0.28386824503633046,0.05122440544258029,0.5312332411466484
output_gap_bn,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,gamma,-0.005261303181466915,-0.04425777973327541,0.03298793192193171
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6178565342698272,0.49046251206522545,0.7379879376637066
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.08308468820003848,-0.012782809950359492,0.18489682070580118
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,-0.02012116908189108,-0.05220614508981613,0.014311832139950015
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta_0,0.09321342813064502,-0.33283015808270666,0.5851330543653805
output_gap_bn,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,gamma,-0.0025258873980379903,-0.043183450505467985,0.03487194064914277
